TaxID;output.DNA_220525_20.22hmix_centri_BIOMcombi_S9_kaiju.out;output.DNA_220525_22.24hmix_centri_BIOMcombi_S10_kaiju.out;output.DNA_220602_20.22hmix_centri_BIOMcombi_S11_kaiju.out;output.DNA_220602_20.22hmix_cer_BIOMcombi_S13_kaiju.out;output.DNA_220602_22.24hmix_centri_BIOMcombi_S12_kaiju.out;output.DNA_220602_22.24hmix_cer_BIOMcombi_S14_kaiju.out;output.DNA_220607_20.22hmix_centri_BIOMcombi_S17_kaiju.out;output.DNA_220607_20.22hmix_cer_BIOMcombi_S15_kaiju.out;output.DNA_220607_22.24hmix_centri_BIOMcombi_S18_kaiju.out;output.DNA_220607_22.24hmix_cer_BIOMcombi_S16_kaiju.out;output.DNA_220616_20.22hmix_cer_BIOMcombi_S19_kaiju.out;output.DNA_220616_22.24hmix_cer_BIOMcombi_S20_kaiju.out;output.DNA_220623_24hmix_cer_BIOMcombi_S21_kaiju.out;output.DNA_220623_24hmix_cer_BIOMminiprep_S22_kaiju.out;output.DNA_220629_20.22hmix_cer_BIOMcombi_S25_kaiju.out;output.DNA_220629_20.22hmix_cer_BIOMminiprep_S23_kaiju.out;output.DNA_220629_22.24hmix_cer_BIOMcombi_S26_kaiju.out;output.DNA_220629_22.24hmix_cer_BIOMminiprep_S24_kaiju.out;output.DNA_220707_20.22hmix_cer_BIOMminiprep_S27_kaiju.out;output.DNA_220707_20.22mix_cer_BIOMcombi_S29_kaiju.out;output.DNA_220707_22.24hmix_cer_BIOMcombi_S30_kaiju.out;output.DNA_220707_22.24hmix_cer_BIOMminiprep_S28_kaiju.out;output.DNA_220719_20.22mix_cer_BIOMcombi_S31_kaiju.out;output.DNA_220719_22.24hmix_cer_BIOMcombi_S32_kaiju.out
107;8;6;6;46;1;10;13;1;32;11;18;19;26;17;50;17;110;18;14;13;21;33;10;6
113;7;5;3;3;2;NA;1;NA;4;3;1;NA;NA;1;1;3;8;1;NA;NA;2;3;NA;NA
114;11;11;4;3;4;3;2;3;3;6;2;NA;7;8;7;5;11;3;6;NA;14;5;NA;1
119;1;1;NA;5;NA;3;3;2;4;NA;3;4;2;3;7;2;18;7;5;7;6;5;1;NA
126;1;1;2;1;NA;NA;NA;NA;NA;2;1;NA;1;NA;NA;5;1;NA;2;2;4;NA;1;NA
128;5;4;3;2;NA;NA;NA;NA;2;NA;3;1;2;2;4;1;6;1;3;1;11;7;1;NA
133;8;1;2;5;NA;1;1;1;4;2;4;1;2;1;1;1;NA;1;NA;NA;NA;3;NA;NA
136;3;5;2;9;NA;7;NA;2;5;7;1;1;3;3;8;3;17;3;6;3;7;5;2;2
138;1;2;NA;1;1;NA;1;1;NA;NA;3;1;NA;2;NA;2;6;NA;2;NA;2;5;1;1
144;1;3;3;3;NA;3;4;NA;13;4;6;5;3;3;3;2;10;2;8;8;7;16;3;3
148;2;1;NA;1;1;NA;NA;3;NA;NA;1;1;NA;NA;5;NA;NA;NA;NA;3;2;NA;NA;NA
150;4;3;NA;5;NA;3;1;NA;2;2;1;2;2;NA;3;NA;8;1;2;2;6;1;1;1
156;25;21;11;19;10;9;13;19;24;26;18;12;18;16;65;24;128;37;35;29;44;27;2;5
157;18;22;14;64;14;35;17;4;19;9;26;21;25;27;53;27;113;23;47;36;30;47;5;6
158;35;45;13;67;14;38;41;22;51;36;43;26;42;63;82;46;195;39;62;26;72;86;7;16
162;7;16;10;58;8;31;16;7;24;6;25;20;14;15;34;16;82;10;33;21;24;35;5;5
163;6;5;9;52;9;34;22;2;23;15;29;24;18;24;29;18;68;16;23;22;26;41;8;12
164;8;7;22;73;11;37;14;1;13;14;15;17;31;48;39;22;83;23;60;18;24;49;6;2
165;2;1;1;7;1;3;2;2;6;2;2;4;3;2;5;3;17;NA;6;2;5;3;2;1
166;79;70;45;55;49;33;16;19;21;30;31;30;35;39;69;55;134;29;53;42;51;58;10;6
167;10;8;2;24;5;10;4;1;15;5;4;11;8;8;21;6;39;14;18;11;9;11;4;6
171;37;35;15;79;18;43;28;12;51;34;25;26;43;27;55;24;114;30;55;36;58;79;23;11
172;2;3;1;6;1;4;4;NA;7;NA;NA;6;11;9;6;6;6;2;6;4;6;2;3;1
173;7;2;5;12;3;5;5;1;5;5;7;1;11;5;13;2;23;4;12;2;3;2;NA;2
174;1;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
179;3;1;2;1;NA;1;NA;NA;NA;NA;NA;NA;1;3;1;1;2;1;1;2;NA;NA;NA;NA
180;3;3;1;4;1;1;1;2;1;1;3;NA;3;2;1;NA;11;5;8;1;1;1;NA;NA
183;1;1;NA;1;3;2;2;NA;1;NA;1;NA;NA;NA;2;4;1;4;1;1;1;2;1;NA
188;2;3;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;2;NA;NA;NA;NA;1;NA;NA
189;13;5;3;3;1;NA;NA;2;1;1;4;1;2;2;4;3;3;1;5;2;7;4;NA;NA
190;7;5;5;3;3;2;3;1;7;2;2;4;16;25;21;13;42;17;7;8;23;26;2;3
191;98;90;35;53;18;24;20;25;32;27;27;19;41;22;69;30;100;23;62;45;97;58;12;8
192;25;24;14;15;14;8;10;5;14;9;9;5;17;10;23;7;38;9;30;9;23;38;3;4
193;1;NA;3;NA;1;2;NA;NA;NA;NA;1;1;1;NA;NA;NA;3;1;NA;NA;1;2;NA;1
194;49;65;27;142;24;72;115;29;164;43;91;99;105;79;190;62;450;68;130;70;116;185;56;31
195;31;49;11;60;9;29;41;36;84;36;110;65;50;53;106;50;182;48;41;22;92;125;18;13
196;23;39;8;176;21;77;77;22;91;36;97;69;114;87;299;77;798;114;183;64;127;229;42;37
197;38;131;30;109;26;52;95;35;142;47;92;43;91;127;221;109;362;98;229;76;168;288;39;44
198;3;12;4;14;4;4;10;5;8;7;9;11;10;18;28;9;55;7;15;6;5;14;1;3
199;21;31;10;110;12;47;60;7;106;25;46;42;70;41;176;42;337;45;104;44;69;111;41;24
200;7;17;4;48;6;38;16;6;38;15;39;25;39;32;64;31;124;28;73;25;51;99;8;15
201;9;6;4;37;2;23;16;4;19;11;20;10;20;19;43;20;76;7;33;12;28;33;18;8
202;11;7;3;8;3;4;12;6;7;5;9;10;9;10;15;9;45;13;22;9;13;17;4;5
204;2;5;1;6;3;3;9;2;27;1;5;7;7;5;20;4;44;8;9;5;6;5;4;2
206;1;3;NA;10;1;1;3;NA;8;NA;3;1;2;3;7;1;19;3;NA;1;3;5;NA;2
209;8;24;20;125;15;63;99;16;113;27;90;70;65;28;101;22;274;28;61;47;85;97;44;38
210;18;22;14;89;10;28;62;9;82;24;92;90;64;43;87;31;156;17;51;28;58;70;21;15
215;5;5;9;16;NA;3;9;NA;13;2;13;11;7;5;11;9;49;3;21;5;6;17;4;4
222;297;218;121;74;68;26;40;63;54;96;83;43;91;60;101;70;161;62;69;50;123;107;23;13
