TaxID;output.DNA_220525_20.22hmix_centri_BIOMcombi_S9_kaiju.out;output.DNA_220525_22.24hmix_centri_BIOMcombi_S10_kaiju.out;output.DNA_220602_20.22hmix_centri_BIOMcombi_S11_kaiju.out;output.DNA_220602_20.22hmix_cer_BIOMcombi_S13_kaiju.out;output.DNA_220602_22.24hmix_centri_BIOMcombi_S12_kaiju.out;output.DNA_220602_22.24hmix_cer_BIOMcombi_S14_kaiju.out;output.DNA_220607_20.22hmix_centri_BIOMcombi_S17_kaiju.out;output.DNA_220607_20.22hmix_cer_BIOMcombi_S15_kaiju.out;output.DNA_220607_22.24hmix_centri_BIOMcombi_S18_kaiju.out;output.DNA_220607_22.24hmix_cer_BIOMcombi_S16_kaiju.out;output.DNA_220616_20.22hmix_cer_BIOMcombi_S19_kaiju.out;output.DNA_220616_22.24hmix_cer_BIOMcombi_S20_kaiju.out;output.DNA_220623_24hmix_cer_BIOMcombi_S21_kaiju.out;output.DNA_220623_24hmix_cer_BIOMminiprep_S22_kaiju.out;output.DNA_220629_20.22hmix_cer_BIOMcombi_S25_kaiju.out;output.DNA_220629_20.22hmix_cer_BIOMminiprep_S23_kaiju.out;output.DNA_220629_22.24hmix_cer_BIOMcombi_S26_kaiju.out;output.DNA_220629_22.24hmix_cer_BIOMminiprep_S24_kaiju.out;output.DNA_220707_20.22hmix_cer_BIOMminiprep_S27_kaiju.out;output.DNA_220707_20.22mix_cer_BIOMcombi_S29_kaiju.out;output.DNA_220707_22.24hmix_cer_BIOMcombi_S30_kaiju.out;output.DNA_220707_22.24hmix_cer_BIOMminiprep_S28_kaiju.out;output.DNA_220719_20.22mix_cer_BIOMcombi_S31_kaiju.out;output.DNA_220719_22.24hmix_cer_BIOMcombi_S32_kaiju.out
1321780;NA;6;2;5;1;1;NA;2;1;2;1;1;2;1;2;2;9;1;2;1;4;12;1;NA
1321785;NA;1;NA;1;NA;NA;NA;NA;NA;1;NA;1;1;NA;1;NA;1;1;NA;NA;1;1;NA;NA
1323375;NA;1;NA;NA;2;NA;2;2;NA;2;1;1;3;4;4;1;3;NA;3;3;2;4;NA;2
1323734;NA;1;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;4;1;NA;1;2;1;1;NA
1323744;NA;1;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA
1323746;NA;4;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1324864;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
1325118;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1327036;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;NA;3;NA;NA;NA;2;1;NA;NA
1327764;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1327777;NA;1;NA;2;NA;3;NA;NA;2;NA;3;5;10;1;14;1;26;NA;5;2;2;5;1;NA
1328364;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1329640;NA;2;1;NA;NA;NA;NA;2;1;1;NA;NA;1;1;NA;NA;2;1;NA;NA;1;NA;NA;2
1330035;NA;2;NA;NA;1;1;NA;NA;NA;NA;1;1;NA;3;NA;1;1;NA;1;5;2;2;NA;NA
1330036;NA;1;4;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;1;NA;NA;NA;1;NA
1330072;NA;3;2;3;NA;2;NA;1;2;1;5;1;1;1;NA;NA;3;NA;NA;NA;2;NA;NA;NA
1335309;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;2;4;NA;2;1;2;NA;1;NA;NA;1;NA;1
1335616;NA;2;NA;5;1;3;NA;NA;1;1;2;NA;NA;NA;NA;1;3;NA;1;NA;4;1;NA;NA
1335631;NA;1;NA;5;NA;NA;3;1;1;NA;3;2;NA;3;3;1;8;NA;8;2;4;14;2;NA
1336796;NA;1;2;3;NA;NA;2;NA;NA;NA;1;NA;NA;1;1;NA;3;NA;1;NA;NA;2;NA;NA
1336806;NA;5;NA;6;NA;3;4;NA;8;NA;1;3;5;NA;7;1;8;1;3;4;1;5;3;3
1337093;NA;1;NA;1;NA;NA;NA;NA;NA;NA;1;1;NA;NA;2;NA;NA;NA;1;NA;1;2;NA;NA
1338689;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1339224;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;1;NA;2;NA;NA;NA
1339288;NA;1;NA;NA;NA;NA;NA;NA;NA;1;2;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA
1339346;NA;3;3;6;2;1;2;1;NA;5;2;1;1;NA;1;1;2;1;2;1;6;2;NA;NA
1339347;NA;1;NA;1;NA;2;NA;1;2;NA;3;NA;NA;NA;1;NA;2;NA;NA;NA;1;2;NA;NA
1339350;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;3;NA;1;NA;NA;NA
1339352;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA
1340810;NA;2;NA;1;1;NA;NA;1;1;NA;2;NA;2;NA;2;NA;1;1;1;NA;1;3;NA;1
1341696;NA;1;NA;NA;2;NA;1;NA;2;1;NA;1;NA;NA;1;NA;NA;NA;NA;NA;2;NA;NA;NA
1343610;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1344948;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1344949;NA;6;1;NA;2;1;NA;1;1;2;NA;NA;NA;NA;NA;1;3;NA;1;1;NA;1;NA;2
1344950;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
1346257;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1347086;NA;2;NA;7;1;2;3;NA;7;1;1;NA;1;2;5;NA;2;2;2;NA;5;3;NA;NA
1347420;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA
1347832;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1347891;NA;3;NA;3;NA;NA;3;3;NA;1;1;1;3;1;1;NA;1;NA;1;NA;NA;1;NA;NA
1348429;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;1;NA;NA;1;NA;1;NA;NA
1348611;NA;2;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;3;NA;2;NA;NA;2;NA;NA
1349435;NA;3;2;3;1;1;NA;2;1;2;5;NA;NA;3;3;NA;1;1;3;1;NA;1;NA;1
1352348;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1353536;NA;1;NA;3;NA;NA;NA;4;1;6;6;2;2;3;1;NA;6;NA;1;NA;9;7;NA;1
1353976;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1354264;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA
1354300;NA;2;NA;1;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1354301;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
1354302;NA;1;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA
1356575;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA
1357423;NA;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;1;1;NA
1357915;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1358440;NA;2;NA;NA;NA;NA;1;NA;NA;NA;NA;1;2;1;3;NA;NA;1;NA;1;NA;NA;NA;1
1359195;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA
1359197;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1364945;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA
1366046;NA;2;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;1;NA
1367847;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1378299;NA;1;NA;NA;NA;2;NA;1;NA;NA;NA;NA;2;2;NA;NA;2;NA;1;1;4;3;1;NA
1379698;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1379700;NA;5;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;1;NA;NA;1;NA;NA
1379858;NA;1;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;1;2;1;1;NA;NA;NA
1380157;NA;2;NA;1;NA;NA;NA;NA;1;1;NA;NA;NA;1;3;2;1;1;1;2;NA;1;NA;2
1380675;NA;3;NA;3;NA;NA;1;NA;2;NA;NA;1;1;1;5;3;10;2;4;4;2;7;5;NA
1381081;NA;3;NA;5;NA;2;1;3;6;2;2;3;4;2;4;8;10;5;9;2;6;9;3;NA
1382356;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA
1382456;NA;1;1;9;NA;NA;1;NA;6;2;1;1;2;2;15;5;28;8;5;3;4;5;2;NA
1383882;NA;2;1;2;NA;NA;NA;NA;2;NA;1;NA;1;NA;4;NA;2;NA;1;2;NA;NA;NA;NA
1385663;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
1385984;NA;6;4;25;3;9;6;5;8;8;6;7;19;12;12;6;37;5;18;16;31;21;3;3
1387312;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1388762;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1389004;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1392256;NA;2;1;NA;NA;NA;1;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA
1392488;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;2;NA;NA;NA
1393049;NA;1;NA;1;NA;5;2;NA;2;NA;2;6;3;4;3;2;NA;NA;4;1;NA;4;1;NA
1393122;NA;1;1;NA;NA;NA;1;1;2;NA;NA;NA;1;NA;1;3;8;NA;3;1;3;1;NA;1
1393469;NA;3;NA;1;NA;NA;NA;NA;NA;NA;1;NA;1;2;2;1;NA;NA;1;1;5;1;1;NA
1393527;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1393662;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA
1395637;NA;1;3;3;1;NA;1;NA;2;3;NA;NA;NA;1;1;1;1;NA;3;1;2;1;NA;NA
1395958;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
1396819;NA;1;3;6;6;11;NA;NA;1;NA;NA;NA;3;2;2;NA;1;NA;NA;1;NA;NA;NA;NA
1397112;NA;8;NA;4;NA;NA;1;NA;3;1;1;1;1;1;1;NA;7;NA;3;1;NA;NA;NA;NA
1397278;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA
1399941;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA
1400133;NA;1;NA;NA;NA;NA;NA;NA;1;1;NA;NA;1;1;1;NA;NA;NA;NA;NA;1;2;NA;NA
1400979;NA;1;NA;NA;NA;NA;NA;NA;1;NA;1;NA;1;NA;3;NA;NA;NA;NA;NA;NA;1;NA;NA
1401441;NA;2;1;NA;NA;NA;2;NA;1;1;3;NA;13;9;2;1;11;NA;6;NA;1;7;NA;3
1401639;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;1;NA
1403932;NA;2;1;NA;NA;1;1;NA;NA;1;1;NA;NA;NA;3;NA;2;1;1;NA;1;NA;NA;1
1403933;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1403937;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1403940;NA;4;NA;5;NA;3;4;NA;16;3;6;4;1;2;8;NA;13;2;6;NA;3;7;12;13
1403949;NA;1;3;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;1;NA;NA;NA
1404341;NA;3;1;NA;NA;NA;NA;NA;NA;2;NA;NA;3;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA
1404443;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1406512;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;1;2;NA;3;NA;NA;NA;2;3;NA;NA
1406790;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;1;4;4;1;1;1;NA;1;NA;1;NA;NA;NA
1406792;NA;2;NA;NA;NA;1;NA;NA;NA;1;NA;4;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA
1406906;NA;2;3;9;1;9;6;4;8;2;5;12;3;1;5;2;9;2;5;7;1;6;2;2
1407055;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1408103;NA;1;NA;2;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;2;NA;NA;NA
1408192;NA;3;4;NA;3;2;1;NA;1;2;NA;NA;NA;NA;NA;1;4;NA;1;NA;1;1;NA;NA
1408281;NA;1;NA;2;1;2;2;NA;1;NA;3;3;5;2;1;1;6;NA;4;4;8;2;NA;1
1408311;NA;4;3;6;NA;4;3;NA;7;2;3;5;4;2;6;1;12;7;4;6;4;1;1;1
1410331;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA
1410611;NA;1;NA;4;1;1;1;NA;5;1;1;1;NA;NA;NA;NA;2;NA;1;NA;1;2;1;NA
1410616;NA;2;NA;2;1;NA;NA;NA;1;1;NA;NA;NA;NA;1;1;5;1;1;NA;2;NA;NA;NA
1410681;NA;1;2;2;1;NA;NA;NA;NA;1;2;NA;1;3;NA;2;1;NA;2;1;NA;1;1;1
1410950;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA
1411118;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;NA
1411621;NA;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;1;1;NA;2;1;NA;NA;NA;1;1;NA
1413492;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA
1414718;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1414722;NA;2;2;10;NA;4;7;1;8;3;5;6;2;3;4;2;3;1;3;1;4;8;8;5
1414747;NA;3;NA;NA;NA;NA;NA;NA;NA;1;NA;1;1;NA;NA;2;3;NA;1;1;NA;1;NA;NA
1414766;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
1415546;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
1415775;NA;1;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA
1416008;NA;2;3;4;2;1;1;3;NA;4;2;1;5;2;4;5;8;3;1;2;4;5;NA;NA
1416011;NA;2;NA;1;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
1416614;NA;7;4;6;3;4;NA;1;3;1;1;1;2;1;6;2;12;3;8;6;7;5;1;NA
1417756;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA
1419263;NA;1;2;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
1419739;NA;1;NA;NA;NA;2;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
1420012;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA
1420583;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1421019;NA;26;NA;2;NA;NA;1;NA;2;2;1;2;NA;1;NA;NA;2;NA;2;1;1;2;NA;NA
1423763;NA;2;NA;2;1;NA;1;NA;5;NA;2;NA;3;1;NA;NA;1;NA;NA;2;3;1;NA;NA
1423794;NA;2;1;1;NA;1;NA;NA;NA;NA;NA;NA;1;4;NA;2;NA;NA;NA;2;1;1;NA;NA
1423815;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA
1424661;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1425377;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA
1427538;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA
1432558;NA;6;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA
1432658;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA
1433992;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA
1434006;NA;2;NA;3;NA;2;2;1;NA;NA;NA;NA;2;1;NA;NA;6;NA;1;2;NA;1;NA;NA
1434023;NA;2;NA;9;NA;3;1;1;2;1;4;2;NA;1;5;NA;24;NA;4;NA;1;NA;NA;1
1434045;NA;2;NA;2;NA;1;1;3;1;4;NA;2;3;2;8;3;11;1;2;3;5;1;2;1
1434099;NA;1;1;2;NA;2;NA;NA;NA;NA;NA;1;2;4;2;2;1;NA;1;NA;NA;2;NA;NA
1434752;NA;8;1;3;NA;2;8;1;4;5;14;2;2;3;3;3;6;4;10;10;7;7;1;1
1434831;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA
1434841;NA;1;9;NA;4;2;3;NA;2;1;NA;NA;1;NA;1;2;NA;1;1;NA;NA;2;NA;NA
1435466;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
1435645;NA;3;2;10;3;7;6;8;7;19;2;3;2;1;NA;1;5;3;5;1;4;8;1;3
1436965;NA;3;NA;NA;1;1;1;NA;1;NA;NA;1;1;2;2;1;8;1;2;1;1;1;NA;NA
1437059;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
1437425;NA;2;NA;2;NA;1;2;1;1;NA;NA;NA;2;1;3;2;1;NA;1;NA;NA;NA;NA;NA
1437523;NA;1;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;1;NA;NA;1;NA;NA;1;NA;NA;NA;NA
1437603;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1437823;NA;1;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1439319;NA;2;2;2;2;NA;10;10;10;38;19;5;NA;NA;NA;NA;1;NA;3;NA;1;1;NA;NA
1441095;NA;1;1;1;1;2;1;1;1;NA;1;NA;2;1;3;NA;4;4;6;NA;3;3;NA;NA
1441723;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;NA
1443036;NA;1;NA;3;NA;1;3;1;NA;NA;3;6;NA;2;NA;NA;4;NA;5;2;5;3;1;NA
1443113;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1443141;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA
1444045;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1444219;NA;1;NA;NA;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1444768;NA;1;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
1445505;NA;3;2;1;1;1;1;5;2;2;1;NA;3;3;4;2;5;3;3;2;8;6;NA;NA
1445662;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
1446466;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA
1446583;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA
1447716;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;2;1;NA;NA
1448308;NA;1;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
1448319;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1449046;NA;7;NA;1;2;NA;1;NA;1;1;2;2;4;2;3;4;6;1;3;1;3;10;NA;NA
1449049;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1449063;NA;1;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;2;NA;NA;1;1;NA;NA;NA
1449080;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA
1449348;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1450142;NA;1;NA;7;1;3;NA;1;1;5;1;NA;6;1;5;NA;7;NA;4;3;1;1;1;2
1450148;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1450648;NA;4;1;4;1;4;6;1;5;1;1;4;4;1;10;3;10;4;10;3;7;8;1;1
1450746;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
1451377;NA;2;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
1452487;NA;2;2;3;1;1;2;3;NA;4;2;2;2;1;3;1;4;3;3;NA;6;4;NA;NA
1453502;NA;2;2;1;2;1;1;4;NA;NA;2;NA;NA;NA;NA;2;2;NA;1;NA;NA;3;NA;NA
1454022;NA;1;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA
1454229;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;NA;NA;NA;NA;NA;NA
1455074;NA;2;1;3;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA
1455075;NA;7;NA;1;1;NA;NA;2;1;2;1;4;1;NA;2;4;4;2;1;2;2;NA;NA;NA
1455638;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;2;1;NA;1;NA;1;NA;NA
1457724;NA;2;1;18;3;7;1;1;4;5;13;5;12;10;11;1;26;4;4;5;2;1;1;1
1458122;NA;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;3;1;NA;1;2;NA;NA;NA
1458355;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;2;1;NA;NA;NA;NA;NA;NA
1458425;NA;2;2;2;NA;NA;1;1;NA;NA;1;NA;1;NA;1;NA;NA;NA;2;NA;NA;NA;NA;NA
1458427;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA
